VCASN: 69 ITHR: 51
6 447 206.19 11.10 27.81
6 466 160.92 9.81 27.51
6 482 197.89 8.77 27.36
6 551 163.51 10.42 27.33
6 561 194.87 10.49 27.58
6 592 167.19 15.96 27.50
6 598 169.56 11.12 27.39
6 600 173.71 9.24 27.34
6 626 174.91 11.33 27.91
6 696 189.11 7.75 27.47
6 791 191.97 11.41 27.54
6 795 185.80 11.01 27.50
6 806 147.16 10.18 27.36
6 841 170.81 8.87 27.46
6 858 166.70 8.57 27.58
6 860 167.79 11.06 27.85
6 861 188.10 8.82 27.49
6 869 162.80 11.58 27.67
6 877 197.06 10.05 27.45
6 892 168.58 7.49 27.32
6 944 175.11 9.99 27.32
6 972 155.21 10.41 27.78
6 1003 192.76 9.88 27.44
7 8 177.57 6.06 27.48
7 72 130.96 9.29 27.35
7 79 188.96 10.30 27.92
7 94 182.59 10.16 27.51
7 101 162.70 11.23 27.40
7 139 203.66 8.10 27.37
7 144 167.70 9.06 27.77
7 159 149.49 12.78 28.06
7 185 172.06 11.81 27.98
7 274 177.23 13.91 28.07
7 318 176.91 7.50 27.43
7 375 187.07 10.69 27.63
7 418 154.76 9.06 27.53
7 452 200.86 11.80 27.69
7 476 191.36 8.96 27.76
7 567 179.44 9.62 28.13
7 606 177.19 6.59 27.36
7 661 179.27 9.40 27.37
7 716 193.24 9.90 27.61
7 722 154.86 12.82 27.52
7 767 171.65 10.65 27.85
7 854 144.81 9.37 27.36
7 884 175.40 9.08 27.55
7 998 183.02 8.22 27.80
7 1020 185.93 9.80 27.50
8 4 188.83 13.55 27.39
8 19 166.13 9.79 27.65
8 54 126.01 8.25 27.54
8 81 169.72 9.45 27.57
8 168 147.52 9.69 27.79
8 169 173.84 9.86 27.46
8 181 169.09 11.07 27.41
8 182 173.91 9.45 27.57
8 202 179.18 9.58 27.62
8 232 165.21 8.98 27.40
8 264 172.49 8.01 27.42
8 306 178.77 10.32 27.40
8 351 178.27 10.17 27.44
8 401 168.25 11.01 27.44
8 406 168.79 9.86 27.62
8 408 173.20 9.82 27.35
8 454 168.07 9.43 27.53
8 455 152.22 8.02 27.36
8 475 181.26 9.61 28.82
8 562 184.24 11.23 27.52
8 567 169.38 6.33 27.37
8 604 202.71 13.65 28.49
8 630 123.46 11.05 27.89
8 664 176.88 8.02 27.84
8 707 1069.84 10.00 0.28
8 717 198.06 6.68 27.35
